time,open,close,high,low,volume
1682763120000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,31.19290082
1682763480000,2.78e-06,2.78e-06,2.78e-06,2.78e-06,39.37157694
1682764500000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,42.74863787
1682765520000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,28.989334
1682766840000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,29.04770264
1682767860000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,36.69210171
1682768220000,2.78e-06,2.78e-06,2.78e-06,2.78e-06,38.30867511
1682769240000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,30.22486285
1682770380000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,51.79231111
1682771340000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,30.72171457
1682772360000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,50.71674249
1682774160000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,41.19712874
1682774520000,2.78e-06,2.78e-06,2.78e-06,2.78e-06,41.43331195
1682775300000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,27.70246085
1682776440000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,39.63549636
1682777460000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,28.77602001
1682783460000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,47.76642477
1682784240000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,2756.1402
1682785080000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,44.41831454
1682785380000,2.76e-06,2.76e-06,2.76e-06,2.76e-06,46.74563635
1682786400000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,31.37128274
1682786940000,2.78e-06,2.79e-06,2.79e-06,2.78e-06,5402.1342921000005
1682787720000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,42.40334506
1682788740000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,33.68338833
1682789100000,2.78e-06,2.78e-06,2.78e-06,2.78e-06,38.84343765
1682790540000,2.78e-06,2.78e-06,2.78e-06,2.78e-06,31.52618482
1682791680000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,38.22884172
1682792820000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,31.5752502
1682793840000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,46.785709350000005
1682794140000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,26.0
1682794680000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,51.64809419
1682795820000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,26.0172034
1682796180000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,38.01095647
1682797260000,2.78e-06,2.78e-06,2.78e-06,2.78e-06,46.91466531
1682798280000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,28.47732651
1682800500000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,5341.83967693
1682801220000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,9627.0
1682803020000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,47.32798325
1682803320000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,43.74299719
1682804340000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,51.77104192
1682805120000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,46.54135001
