time,open,close,high,low,volume,Unnamed: 0
1628155080000,135.5,135.5,135.5,135.5,0.42,0.0
1628156940000,135.0,135.0,135.0,135.0,3.0,1.0
1628176200000,135.49,135.49,135.49,135.49,0.82400077,2.0
1628176260000,135.49,135.49,135.49,135.49,1.89148545,3.0
1628176320000,135.49,135.49,135.49,135.49,7.80176448,4.0
1628177820000,135.49,135.49,135.49,135.49,2.79575784,5.0
1628180580000,135.49,135.49,135.49,135.49,3.67,6.0
1628182200000,135.49,135.5,135.5,135.49,9.22678717,7.0
1628186160000,137.0,137.0,137.0,137.0,2.80867392,8.0
1628187300000,139.03,139.03,139.03,139.03,1.5,9.0
1628231460000,136.39,136.39,136.39,136.39,9.77235154,10.0
1628263020000,136.88,136.88,136.88,136.88,0.14776749,11.0
1628275080000,137.88,137.88,137.88,137.88,4.0,12.0
1628278980000,139.99,140.0,140.0,139.99,3.10019696,13.0
1628292120000,140.28,140.28,140.28,140.28,0.2,14.0
1628298540000,140.0,140.0,140.0,140.0,0.21916,15.0
1628316720000,144.0,144.0,144.0,144.0,2.67550494,16.0
1628329740000,146.13,146.13,146.13,146.13,0.35,17.0
1628546340000,159.48,159.48,159.48,159.48,1.0,18.0
1628568420000,157.77,157.77,157.77,157.77,0.103699,19.0
1628602320000,160.0,160.0,160.0,160.0,25.09084695,20.0
1628602680000,160.0,160.0,160.0,160.0,16.57456241,21.0
1628640960000,160.0,160.0,160.0,160.0,3.26443806,
1628644620000,160.0,160.0,160.0,160.0,2.93415918,
1628644800000,160.0,160.0,160.0,160.0,2.89255301,
1628656620000,157.32,157.32,157.32,157.32,0.32061288,
1628659140000,157.95,157.4,157.95,157.4,0.32044992,
1628720820000,156.48,156.48,156.48,156.48,0.29462,
1628759640000,154.0,154.0,154.0,154.0,0.26623,
1628855160000,167.46,167.46,167.46,167.46,0.001,
1628935080000,171.11,171.11,171.11,171.11,0.001,
1628938440000,167.07,167.07,167.07,167.07,0.001,
1628942520000,167.21,167.21,167.21,167.21,0.001,
1628952060000,172.66,172.66,172.66,172.66,0.04006009,
1629011940000,167.41,167.41,167.41,167.41,0.001,
1629016860000,166.48,166.48,166.48,166.48,0.001,
1629021780000,167.46,167.46,167.46,167.46,0.001,
1629059400000,172.07,172.07,172.07,172.07,0.001,
1629072300000,175.07,175.07,175.07,175.07,0.001,
1629098700000,172.77,172.77,172.77,172.77,0.3493,
1629144360000,174.51,174.51,174.51,174.51,8.42743015,
1629159960000,174.7,172.93,174.7,172.93,1.7375272199999998,
1629182460000,175.97,175.04,175.97,175.04,0.82001024,
1629183660000,172.18,172.18,172.18,172.18,1.0,
1629197160000,177.94,177.94,177.94,177.94,0.66353548,
1629209520000,176.74,176.74,176.74,176.74,0.001,
1629238200000,164.11,164.11,164.11,164.11,0.10000001,
1629260580000,162.07,162.64,162.64,162.07,0.31719833,
1629266160000,161.82,161.82,161.82,161.82,0.001,
1629273780000,161.07,159.04,161.07,159.04,11.5732564,
1629286680000,159.27,159.27,159.27,159.27,0.001,
1629291600000,160.13,160.13,160.13,160.13,0.001,
1629298260000,163.0,163.0,163.0,163.0,3.0,
1629315420000,160.64,160.64,160.64,160.64,0.13116363,
1629329580000,160.66,160.66,160.66,160.66,0.001,
