time,open,close,high,low,volume,Unnamed: 0
1628623080000,137.96,137.96,137.96,137.96,2.02765,
1628623260000,138.39,138.39,138.39,138.39,1.0255,
1628623440000,139.04,140.43,140.43,139.04,292.60212611000003,
1628623500000,141.03,141.16,141.16,141.03,1.97575628,
1628624100000,140.24,140.24,140.24,140.24,0.2,
1628624340000,139.75,139.75,139.75,139.75,1.7104,
1628624820000,139.87,139.87,139.87,139.87,0.2,
1628625360000,140.25,140.25,140.25,140.25,0.2,
1628625900000,139.91,139.7,139.91,139.7,0.5218041600000001,
1628626380000,139.26,139.26,139.26,139.26,0.2,
1628626440000,139.06,139.03,139.06,139.03,2.13305,
1628626980000,139.36,139.36,139.36,139.36,0.2,
1628627460000,139.35,139.35,139.35,139.35,0.2,
1628628000000,139.84,139.84,139.84,139.84,0.2,
1628628600000,139.9,139.73,139.9,139.73,0.41460448,
1628629200000,139.78,139.78,139.78,139.78,0.2,
1628629740000,140.43,140.43,140.43,140.43,0.2552113,
1628630280000,139.57,139.57,139.57,139.57,0.2,
1628630700000,140.43,140.43,140.43,140.43,1.6272387,
1628630940000,139.87,139.87,139.87,139.87,10.32415769,
1628631420000,139.99,139.99,139.99,139.99,0.2,
1628631960000,139.94,139.94,139.94,139.94,0.2,
1628632320000,140.46,140.47,140.47,140.46,0.6000000000000001,
1628632560000,140.47,140.47,140.47,140.47,11.92583529,
1628633100000,140.16,140.16,140.16,140.16,0.2,
1628633160000,139.82,139.82,139.82,139.82,0.24331009,
1628633640000,140.06,140.06,140.06,140.06,0.2,
1628634240000,139.73,139.73,139.73,139.73,0.2,
1628634780000,139.45,139.45,139.45,139.45,0.2,
1628634840000,139.22,139.22,139.22,139.22,7.78419608,
1628634900000,139.03,138.61,139.03,138.61,5.6411532300000005,
1628635440000,139.13,138.91,139.13,138.91,0.4,
1628635920000,139.79,139.79,139.79,139.79,0.25670302,
1628635980000,139.23,139.23,139.23,139.23,0.2,
1628636520000,139.41,139.41,139.41,139.41,0.2,
1628637060000,139.53,139.53,139.53,139.53,0.2,
1628637660000,139.51,139.51,139.51,139.51,0.2,
1628638200000,138.86,138.7,138.86,138.7,0.4,
1628638740000,139.5,139.5,139.5,139.5,0.2,
1628639280000,139.94,139.94,139.94,139.94,0.2,
1628639880000,139.62,139.62,139.62,139.62,0.2,
1628640360000,139.71,139.71,139.71,139.71,0.2,
1628640900000,140.07,140.02,140.07,140.02,2.10638674,
1628641440000,139.53,139.53,139.53,139.53,0.2,
1628641980000,140.38,140.38,140.38,140.38,0.2,
1628642520000,140.43,140.43,140.43,140.43,1.88245,
1628643120000,140.85,140.85,140.85,140.85,0.2,
1628643660000,140.49,140.49,140.49,140.49,0.2528124,
1628644200000,140.39,140.39,140.39,140.39,0.2,
1628644740000,140.64,140.64,140.64,140.64,0.2,
1628645340000,140.8,140.8,140.8,140.8,0.2,
1628645880000,140.38,140.38,140.38,140.38,0.2,
1628646480000,139.81,139.81,139.81,139.81,0.2,
1628646960000,139.71,139.71,139.71,139.71,0.2,
1628647500000,139.67,139.31,139.67,139.31,0.4251606,
1628648100000,139.67,139.67,139.67,139.67,0.2,
1628648640000,139.53,139.53,139.53,139.53,0.2,
1628649120000,139.21,139.21,139.21,139.21,0.2,
1628649420000,139.03,139.03,139.03,139.03,1.88245,
1628649600000,138.67,138.67,138.67,138.67,1.867,
1628650140000,138.12,138.12,138.12,138.12,0.2,
1628650200000,138.33,138.33,138.33,138.33,0.2,
1628650680000,138.47,138.47,138.47,138.47,0.2,
1628651280000,138.45,138.58,138.58,138.45,0.4,
1628651820000,138.83,138.83,138.83,138.83,0.2,
1628652300000,139.13,139.13,139.13,139.13,0.2,
1628652840000,139.35,139.35,139.35,139.35,0.2,
1628653320000,139.36,139.36,139.36,139.36,0.2,
1628653860000,139.66,139.66,139.66,139.66,0.2,
1628654400000,139.16,139.16,139.16,139.16,0.2,
1628654460000,139.01,139.01,139.01,139.01,0.2,
1628654940000,139.12,139.12,139.12,139.12,0.2,
1628655000000,138.99,138.99,138.99,138.99,0.2,
1628655480000,138.8,138.89,138.89,138.8,0.4,
1628656020000,138.73,138.73,138.73,138.73,0.25891952,
1628656500000,138.37,138.37,138.37,138.37,0.2,
1628657100000,138.74,138.74,138.74,138.74,0.2,
1628657700000,138.14,138.39,138.39,138.14,0.4,
1628658240000,138.44,138.44,138.44,138.44,0.2,
1628658300000,138.26,138.26,138.26,138.26,0.2,
1628658780000,138.14,138.14,138.14,138.14,0.2,
1628659320000,138.24,138.24,138.24,138.24,0.2,
1628659800000,138.57,138.57,138.57,138.57,0.2,
1628660160000,138.86,139.01,139.01,138.86,5.31950096,
1628660700000,140.07,140.07,140.07,140.07,1.867,
1628661240000,140.06,140.06,140.06,140.06,0.21291681,
1628661780000,140.18,140.18,140.18,140.18,0.2,
1628662020000,140.06,140.06,140.06,140.06,0.10403063,
1628662560000,139.83,139.83,139.83,139.83,0.2,
1628662620000,139.35,139.35,139.35,139.35,0.2170728,
1628663100000,140.21,140.21,140.21,140.21,0.2,
1628663460000,140.43,140.43,140.43,140.43,1.88245,
1628663940000,141.16,141.16,141.16,141.16,1.7104,
1628664120000,140.28,140.28,140.28,140.28,4.97281773,
1628664600000,141.38,141.4,141.4,141.38,0.4,
1628664960000,142.24,142.24,142.24,142.24,2.3086,
1628665020000,142.69,142.69,142.69,142.69,1.49065,
1628665620000,142.93,142.89,142.93,142.89,24.99,
1628665740000,142.96,142.96,142.96,142.96,2.36395,
1628665800000,143.19,143.19,143.19,143.19,0.23121076,
1628665860000,143.19,143.19,143.19,143.19,0.00950143,
1628666400000,142.46,142.46,142.46,142.46,0.2,
1628666460000,142.45,142.45,142.45,142.45,0.2,
1628667060000,142.8,142.8,142.8,142.8,0.2,
