time,open,close,high,low,volume
1682761560000,0.080846,0.080846,0.080846,0.080846,38.64698553
1682761860000,0.080802,0.080802,0.080802,0.080802,30.94515599
1682762280000,0.080853,0.080853,0.080853,0.080853,0.575
1682763180000,0.080978,0.080978,0.080978,0.080978,42.08174254
1682763540000,0.080851,0.080851,0.080851,0.080851,32.72093324
1682763780000,0.080777,0.080777,0.080777,0.080777,1305.72082576
1682764800000,0.080972,0.080972,0.080972,0.080972,44.43342216
1682766060000,0.080839,0.080838,0.080839,0.080838,9541.0
1682766720000,0.08087,0.08089,0.08089,0.08087,40000.0
1682768580000,0.081037,0.081037,0.081037,0.081037,48.68073349
1682769660000,0.081141,0.081141,0.081141,0.081141,31.09576779
1682769780000,0.081029,0.080997,0.081029,0.080997,17137.61566276
1682770200000,0.080957,0.080957,0.080957,0.080957,1200.0
1682772360000,0.081016,0.081016,0.081016,0.081016,307.0
1682772780000,0.080994,0.080994,0.080994,0.080994,1861.7616
1682774520000,0.08128,0.081301,0.081301,0.08128,6187.43331195
1682776080000,0.081133,0.081133,0.081133,0.081133,44.79289263
1682777460000,0.081259,0.081259,0.081259,0.081259,51.96768144
1682778660000,0.08124,0.08125,0.08125,0.08124,20000.0
1682778780000,0.081297,0.081298,0.081298,0.081297,9541.0
1682778840000,0.081369,0.081369,0.081369,0.081369,12291.0
1682778900000,0.08135,0.08135,0.08135,0.08135,98.586355
1682779920000,0.081222,0.081222,0.081222,0.081222,11015.5239
1682781360000,0.081161,0.081161,0.081161,0.081161,35.47268694
1682782320000,0.081218,0.081218,0.081218,0.081218,34.70626698
1682783400000,0.081001,0.081001,0.081001,0.081001,4944.071274
1682784780000,0.081078,0.081078,0.081078,0.081078,6541.0
1682785140000,0.081026,0.081026,0.081026,0.081026,893.815
1682786400000,0.081219,0.081219,0.081219,0.081219,33.76956142
1682786940000,0.081699,0.081699,0.081699,0.081699,7408.0
1682787000000,0.081792,0.081792,0.081792,0.081792,5491.0
1682787240000,0.081802,0.081802,0.081802,0.081802,9541.0
1682787420000,0.081671,0.081671,0.081671,0.081671,6122.0
1682787540000,0.081607,0.081607,0.081607,0.081607,4905.737036
1682788260000,0.081465,0.081465,0.081465,0.081465,34.08841742
1682789460000,0.080616,0.080542,0.080616,0.080542,24376.0
1682789520000,0.080977,0.080977,0.080977,0.080977,6541.0
1682789580000,0.081033,0.081033,0.081033,0.081033,9541.0
